lv;ns;nt;no;ne;nf;method 1;method 2;method 3v1;method 3v2
1;6;10;5;4;1;0.001859903;0.001351968;0.001434749;0.002189921
2;6;10;5;4;1;0.01098624;0.010108693;0.008093215;0.009515529
3;6;10;5;4;1;0.044736649;0.039731035;0.029330577;0.035487384
4;6;10;5;4;1;0.176744121;0.169228753;0.13884125;0.140457864
5;6;10;5;4;1;0.878762283;0.815224246;0.705517457;0.73662488
6;6;10;5;4;1;2.123607096;2.022971653;1.649551594;1.761765217
