lv;ns;nt;no;pe;ne;nf;method 1;method 2;method 3v1;method 3v2
3;10;18;9;0.1;1;9;0.014751606;0.014734616;0.014315734;0.014190272
3;10;18;9;0.2;2;9;0.020333026;0.020444249;0.019425402;0.019625209
3;10;18;9;0.3;3;9;0.02519989;0.025290854;0.023636734;0.02333817
3;10;18;9;0.4;4;9;0.031843557;0.031799675;0.030102041;0.029784399
3;10;18;9;0.5;5;9;0.031254561;0.030913703;0.028568611;0.028727682
3;10;18;9;0.6;5;9;0.028431444;0.028399725;0.026759244;0.026722914
3;10;18;9;0.7;6;9;0.030872945;0.030958343;0.028269471;0.028503025
3;10;18;9;0.8;7;9;0.032390391;0.032637806;0.030970039;0.030580768
3;10;18;9;0.9;8;9;0.032048302;0.031909773;0.030009202;0.029712162
3;10;18;9;1;9;9;0.034755495;0.033784776;0.032477242;0.032823587
