lv;ns;nt;po;no;ne;nf;method 1;method 2;method 3v1;method 3v2
3;10;18;0.1;2;2;2;0.006200247;0.004129846;0.003963614;0.00544267
3;10;18;0.2;4;4;2;0.032451137;0.025223725;0.021057688;0.025689544
3;10;18;0.3;5;5;2;0.042496727;0.038864948;0.032238046;0.034095818
3;10;18;0.4;7;7;2;0.124116109;0.099455155;0.080110086;0.093454762
3;10;18;0.5;9;9;2;0.169195009;0.128996904;0.108441696;0.132518163
3;10;18;0.6;11;11;2;0.122168616;0.107641738;0.092721136;0.095062486
3;10;18;0.7;13;13;2;0.065060986;0.052914263;0.051038289;0.054936479
3;10;18;0.8;14;14;2;0.063977829;0.051420644;0.051287504;0.055466738
3;10;18;0.9;16;16;2;0.045802437;0.032131288;0.031621754;0.041634295
